-111.70601, 32.87950, Denny's, USA-United States
-87.85785, 41.16244, Denny's, USA-United States
-117.15767, 32.77257, Denny's, USA-United States
-88.06616, 41.68690, Denny's, USA-United States
-89.61241, 40.74468, Denny's, USA-United States
-118.93617, 34.19047, Denny's, USA-United States
-80.64807, 28.03504, Denny's, USA-United States
-92.59168, 34.57292, Denny's, USA-United States
-122.63547, 41.73165, Denny's, USA-United States
-88.05226, 43.05949, Denny's, USA-United States
-117.08310, 34.84928, Denny's, USA-United States
-77.20396, 39.17233, Denny's, USA-United States
-80.09270, 37.28809, Denny's, USA-United States
-97.33202, 31.07908, Denny's, USA-United States
-111.47443, 36.92447, Denny's, USA-United States
-119.33727, 36.22568, Denny's, USA-United States
-72.96755, 43.58250, Denny's, USA-United States
-118.46633, 34.17082, Denny's, USA-United States
-96.79554, 33.01716, Denny's, USA-United States
-119.76943, 36.80902, Denny's, USA-United States
-117.90799, 34.08213, Denny's, USA-United States
-110.30722, 31.98094, Denny's, USA-United States
-78.71530, 42.93489, Denny's, USA-United States
-79.77247, 40.43824, Denny's, USA-United States
-96.70932, 33.02523, Denny's, USA-United States
-112.29833, 40.54890, Denny's, USA-United States
-82.98633, 42.62644, Denny's, USA-United States
-95.25481, 30.04296, Denny's, USA-United States
-119.24748, 47.10122, Denny's, USA-United States
-117.92448, 33.86090, Denny's, USA-United States
-101.81984, 35.19188, Denny's, USA-United States
-89.70599, 39.76416, Denny's, USA-United States
-118.18519, 33.81776, Denny's, USA-United States
-110.91234, 32.16291, Denny's, USA-United States
-90.40740, 38.70663, Denny's, USA-United States
-80.11453, 26.57222, Denny's, USA-United States
-98.27934, 29.59918, Denny's, USA-United States
-104.82032, 39.72548, Denny's, USA-United States
-76.16592, 42.61040, Denny's, USA-United States
-122.19870, 48.18786, Denny's, USA-United States
-114.60632, 33.60657, Denny's, USA-United States
-88.07685, 44.47074, Denny's, USA-United States
-70.28478, 43.65513, Denny's, USA-United States
-97.48560, 35.43501, Denny's, USA-United States
-118.42833, 34.31065, Denny's, USA-United States
-80.25028, 26.26930, Denny's, USA-United States
-117.07193, 34.03420, Denny's, USA-United States
-82.69948, 28.33296, Denny's, USA-United States
-117.81766, 34.10399, Denny's, USA-United States
-95.42960, 29.67850, Denny's, USA-United States
-117.60193, 33.87945, Denny's, USA-United States
-117.43596, 34.01075, Denny's, USA-United States
-77.15303, 42.18583, Denny's, USA-United States
-86.65533, 34.73795, Denny's, USA-United States
-81.37469, 28.38945, Denny's, USA-United States
-122.56904, 45.40866, Denny's, USA-United States
-79.83637, 36.00838, Denny's, USA-United States
-75.77611, 41.05600, Denny's, USA-United States
-111.68505, 33.39142, Denny's, USA-United States
-97.24866, 34.73899, Denny's, USA-United States
-117.13865, 32.83423, Denny's, USA-United States
-123.19799, 39.15144, Denny's, USA-United States
-77.95582, 35.73863, Denny's, USA-United States
-94.48128, 38.99996, Denny's, USA-United States
-98.46348, 29.46845, Denny's, USA-United States
-80.27767, 39.28046, Denny's, USA-United States
-122.36036, 47.24296, Denny's, USA-United States
-94.68972, 39.01413, Denny's, USA-United States
-97.45257, 27.80323, Denny's, USA-United States
-75.58095, 39.69035, Denny's, USA-United States
-81.28641, 28.75774, Denny's, USA-United States
-88.25571, 43.04281, Denny's, USA-United States
-117.59295, 34.02949, Denny's, USA-United States
-89.57415, 37.35098, Denny's, USA-United States
-121.80300, 36.69592, Denny's, USA-United States
-117.04417, 32.55031, Denny's, USA-United States
-108.18960, 36.73042, Denny's, USA-United States
-99.40489, 35.39545, Denny's, USA-United States
-81.64669, 30.48238, Denny's, USA-United States
-90.66300, 38.50465, Denny's, USA-United States
-90.46728, 38.54218, Denny's, USA-United States
-118.14856, 34.70382, Denny's, USA-United States
-117.81363, 33.73322, Denny's, USA-United States
-117.19772, 33.55460, Denny's, USA-United States
-118.34102, 33.82429, Denny's, USA-United States
-119.74634, 39.57350, Denny's, USA-United States
-88.84162, 30.45049, Denny's, USA-United States
-111.89822, 40.75866, Denny's, USA-United States
-82.42727, 28.03249, Denny's, USA-United States
-116.88323, 33.03292, Denny's, USA-United States
-81.49216, 40.99171, Denny's, USA-United States
-82.67263, 34.54812, Denny's, USA-United States
-83.36429, 41.92552, Denny's, USA-United States
-80.25187, 26.19546, Denny's, USA-United States
-122.48523, 48.78423, Denny's, USA-United States
-111.91730, 33.46555, Denny's, USA-United States
