-115.17940, 36.26198, Chevron, USA-(NV) Las Vegas, 2836 W Anne Rd
-115.12560, 36.19610, Chevron, USA-(NV) Las Vegas, 1220 E Lake Mead Blvd
-114.75984, 36.49951, Chevron, USA-(NV) Moapa, Interstate 15 Exit 75
-112.46486, 40.59958, Chevron, USA-(UT) Grantsville, 29 W Main St
-112.10973, 39.25187, Chevron, USA-(UT) Scipio, 400 N 200 W
-115.17976, 36.23977, Chevron, USA-(NV) Las Vegas, 2816 W Craig Rd
-115.10060, 36.03408, Chevron, USA-(NV) Henderson, 2601 Wigwam Pkwy
-111.68495, 40.27306, Chevron, USA-(UT) Orem, 1320 S State St
-111.93841, 40.64972, Chevron, USA-(UT) Salt Lake City, 5595 S Redwood Rd
-109.54695, 38.56096, Chevron, USA-(UT) Moab, 817 S Main St
-112.05747, 40.60271, Chevron, USA-(UT) West Jordan, 8200 Bacchus Hwy
-111.84258, 40.73325, Chevron, USA-(UT) Salt Lake City, 1688 E 1700 S
-115.20433, 36.10127, Chevron, USA-(NV) Las Vegas, 4610 W Tropicana Ave
-115.13636, 36.10054, Chevron, USA-(NV) Las Vegas, 4910 S Maryland Pkwy
-111.65910, 40.28311, Chevron, USA-(UT) Provo, 36 W 3700 N
-115.11345, 36.10031, Chevron, USA-(NV) Las Vegas, 2718 E Tropicana Ave
-111.85380, 40.55908, Chevron, USA-(UT) Sandy, 1295 E 10600 S
-115.10069, 36.04284, Chevron, USA-(NV) Henderson, 201 N Pecos Rd
-115.11912, 36.01937, Chevron, USA-(NV) Las Vegas, 9345 S Eastern Ave
-115.27884, 36.07077, Chevron, USA-(NV) Las Vegas, 6480 S Durango Dr
-112.09269, 40.71088, Chevron, USA-(UT) Magna, 8405 W 2700 S
-111.76075, 41.25501, Chevron, USA-(UT) Huntsville, 550 S 7800 E
-111.83437, 41.73882, Chevron, USA-(UT) Logan, 398 N Main St
-115.24261, 36.09944, Chevron, USA-(NV) Las Vegas, 6885 W Tropicana Ave
-115.27855, 36.04125, Chevron, USA-(NV) Las Vegas, 8096 S Durango Dr
-115.26147, 36.11509, Chevron, USA-(NV) Las Vegas, 4075 S Buffalo Dr
-118.47238, 40.17935, Chevron, USA-(NV) Lovelock, 150 Main St
-112.26592, 40.68913, Chevron, USA-(UT) Tooele, 8793 Hwy 36
-111.85499, 40.64039, Chevron, USA-(UT) Salt Lake City, 1284 E Vine St
-111.90793, 40.65358, Chevron, USA-(UT) Murray, 609 W 5300 S
-111.92881, 40.62463, Chevron, USA-(UT) West Jordan, 6995 S 1300 W
-111.87261, 40.60568, Chevron, USA-(UT) Sandy, 8002 S 700 E
-115.18857, 36.04181, Chevron, USA-(NV) Las Vegas, 3520 Blue Diamond Rd
-115.16145, 36.23985, Chevron, USA-(NV) North Las Vegas, 1412 W Craig Rd
-111.83443, 41.71484, Chevron, USA-(UT) Logan, 904 S Main St
-119.71077, 39.63829, Chevron, USA-(NV) Sparks, 8995 La Posada Dr
-115.24262, 36.24086, Chevron, USA-(NV) Las Vegas, 4401 N Rainbow Blvd
-115.04693, 36.14499, Chevron, USA-(NV) Las Vegas, 5820 E Sahara Ave
-113.43499, 37.16116, Chevron, USA-(UT) Hurricane, 41 N 6300 W
-111.72523, 40.32610, Chevron, USA-(UT) Orem, 1223 W 1600 N
-115.22524, 36.14374, Chevron, USA-(NV) Las Vegas, 6111 W Sahara Ave
-114.99976, 36.03505, Chevron, USA-(NV) Henderson, 599 W Lake Mead Pkwy
-115.27766, 36.17400, Chevron, USA-(NV) Las Vegas, 8490 Westcliff Dr
-115.03511, 36.06352, Chevron, USA-(NV) Henderson, 1101 W Sunset Rd
-111.96795, 40.68183, Chevron, USA-(UT) West Valley City, 3219 W 4100 S
-115.25191, 36.21856, Chevron, USA-(NV) Las Vegas, 1450 W Cheyenne Ave
-111.85384, 40.61088, Chevron, USA-(UT) Sandy, 7746 Union Park Ave
-111.98221, 40.65341, Chevron, USA-(UT) Kearns, 3822 W 5400 S
-115.17181, 36.04818, Chevron, USA-(NV) Las Vegas, 7780 S Las Vegas Blvd
-115.27831, 36.15936, Chevron, USA-(NV) Las Vegas, 8500 W Charleston Blvd
-112.08394, 38.78656, Chevron, USA-(UT) Richfield, 1357 N Main St
-111.92967, 40.60912, Chevron, USA-(UT) West Jordan, 1317 W 7800 S
-119.81640, 39.52101, Chevron, USA-(NV) Reno, 350 S Arlington Ave
-111.89129, 40.58788, Chevron, USA-(UT) Sandy, 9010 S State St
-115.19033, 36.14475, Chevron, USA-(NV) Las Vegas, 3650 W Sahara Ave
-110.68884, 39.54291, Chevron, USA-(UT) Wellington, 2195 E Main St
-119.76405, 39.53546, Chevron, USA-(NV) Sparks, 1600 Victorian Ave
-115.20695, 35.99769, Chevron, USA-(NV) Las Vegas, 10590 Southern Highlands Pkwy
-115.17246, 36.15854, Chevron, USA-(NV) Las Vegas, 2237 W Charleston Blvd
-119.95314, 39.25004, Chevron, USA-(NV) Incline Village, 898 Tahoe Blvd
-115.14831, 36.16830, Chevron, USA-(NV) Las Vegas, 333 S Main
-115.18595, 36.10064, Chevron, USA-(NV) Las Vegas, 3415 W Tropicana Ave
-118.79977, 39.47642, Chevron, USA-(NV) Fallon, 1960 W Williams Ave
-112.04427, 40.69626, Chevron, USA-(UT) Salt Lake City, 6415 W 3500 S
-115.10513, 36.00005, Chevron, USA-(NV) Henderson, 10530 S Eastern Ave
-115.07349, 36.08601, Chevron, USA-(NV) Las Vegas, 5685 S Mountain Vista St
-115.03680, 36.06428, Chevron, USA-(NV) Henderson, 601 Marks St
-119.75309, 39.55589, Chevron, USA-(NV) Sparks, 2805 N McCarran Blvd
-115.27933, 36.27652, Chevron, USA-(NV) Las Vegas, 8425 W Centennial Pkwy
-115.38873, 35.61005, Chevron, USA-(NV) Primm, 31960 S Las Vegas Blvd
-111.95831, 40.66801, Chevron, USA-(UT) West Valley City, 2716 W 4700 S
-112.26591, 40.68913, Chevron, USA-(UT) Tooele, 2400 N Hwy 36
-119.96583, 39.51307, Chevron, USA-(NV) Verdi, 2100 Boomtown Garson Rd
-115.24209, 36.07100, Chevron, USA-(NV) Las Vegas, 6480 S Rainbow Blvd
-115.08367, 36.00613, Chevron, USA-(NV) Henderson, 2200 W Horizon Ridge Pkwy
-115.13579, 36.04216, Chevron, USA-(NV) Las Vegas, 8120 S Maryland Pkwy
-119.80763, 39.49034, Chevron, USA-(NV) Reno, 3650 Lakeside Dr
-113.08469, 37.65660, Chevron, USA-(UT) Cedar City, 1744 W Royal Hunter Dr
-111.90023, 40.62028, Chevron, USA-(UT) Midvale, 365 W 7200 S
-115.08675, 36.07125, Chevron, USA-(NV) Henderson, 4036 E Sunset Rd
-114.86036, 39.25763, Chevron, USA-(NV) Ely, 1490 E Aultman St
-115.26442, 36.27224, Chevron, USA-(NV) Las Vegas, 6030 Centennial Center Blvd
-115.11581, 36.17360, Chevron, USA-(NV) Las Vegas, 598 N Eastern Ave
-113.06151, 37.68284, Chevron, USA-(UT) Cedar City, 304 N Main St
-115.10470, 35.99858, Chevron, USA-(NV) Henderson, 10611 S Eastern Ave
-112.08452, 38.76639, Chevron, USA-(UT) Richfield, 105 S Main St
-111.87133, 38.95622, Chevron, USA-(UT) Salina, 705 W Main St
-115.20833, 36.09331, Chevron, USA-(NV) Las Vegas, 5325 S Decatur Blvd
-119.77206, 39.12510, Chevron, USA-(NV) Carson City, 4640 S Carson
-119.79109, 39.55702, Chevron, USA-(NV) Reno, 2900 Clearacre Ln
-115.19906, 36.11600, Chevron, USA-(NV) Las Vegas, 4070 S Arville St
-113.12646, 37.10008, Chevron, USA-(UT) Apple Valley, 1354 N State St
-111.28058, 40.64346, Chevron, USA-(UT) Kamas, 2 N Main St
-111.88245, 40.68691, Chevron, USA-(UT) Salt Lake City, 310 E 3900 S
-115.32495, 36.12274, Chevron, USA-(NV) Las Vegas, 3650 S Town Center Dr
-114.96449, 36.05879, Chevron, USA-(NV) Henderson, 1100 E Lake Mead Blvd
-110.01216, 40.28308, Chevron, USA-(UT) Roosevelt, 1128 W Hwy 40
-115.13745, 36.14388, Chevron, USA-(NV) Las Vegas, 1195 E Sahara Ave
